,Book,Author,Year,month
372,Plum Lovin',Janet Evanovich,2007,February
374,Step on a Crack,James Patterson,2007,March
375,Innocent in Death,J. D. Robb,2007,March
376,Shopaholic and Baby,Sophie Kinsella,2007,March
380,Nineteen Minutes,Jodi Picoult,2007,April
382,I Heard That Song Before,Mary Higgins Clark,2007,April
383,The Children of Húrin,J. R. R. Tolkien,2007,May
385,Simple Genius,David Baldacci,2007,May
387,The 6th Target,James Patterson and Maxine Paetro,2007,June
392,Lean Mean Thirteen,Janet Evanovich,2007,July
395,The Quickie,James Patterson and Michael Ledwidge,2007,July
405,You've Been Warned,James Patterson and Howard Roughan,2007,October
408,World Without End,Ken Follett,2007,October
409,Playing for Pizza,John Grisham,2007,November
410,Book of the Dead,Patricia Cornwell,2007,November
411,Protect and Defended,Vince Flynn,2007,November
412,Stone Cold,David Baldacci,2007,November
417,"""T"" Is for Trespass",Sue Grafton,2007,December
418,Double Cross,James Patterson,2008,January
420,A Thousand Splendid Suns,Khaled Hosseini,2008,January
422,Plum Lucky,Janet Evanovich,2008,February
423,Duma Key,Stephen King,2008,February
428,The Appeal,John Grisham,2008,March
431,Change of Heart,Jodi Picoult,2008,April
432,Compulsion,Jonathan Kellerman,2008,April
433,Unaccustomed Earth,Jhumpa Lahiri,2008,April
434,Where Are You Now?,Mary Higgins Clark,2008,April
435,Hold Tight,Harlan Coben,2008,May
436,The Whole Truth,David Baldacci,2008,May
437,Sundays at Tiffany's,James Patterson and Gabrielle Charbonnet,2008,May
439,The Host,Stephenie Meyer,2008,June
440,Odd Hours,Dean Koontz,2008,June
441,Blood Noir,Laurell K. Hamilton,2008,June
442,Nothing to lose,Lee Child,2008,June
443,Sail,James Patterson and Howard Roughan,2008,June
445,Fearless Fourteen,Janet Evanovich,2008,July
446,The Last Patriot,Brad Thor,2008,July
448,Tribute,Nora Roberts,2008,August
450,Moscow Rules,Daniel Silva,2008,August
451,Acheron,Sherrilyn Kenyon,2008,August
452,Smoke Screen,Sandra Brown,2008,August
453,The Force Unleashed,Sean Williams,2008,September
454,Devil Bones,Kathy Reichs,2008,September
455,Dark Curse,Christine Feehan,2008,September
456,Anathem,Neal Stephenson,2008,September
458,The Story of Edgar Sawtelle,David Wroblewski,2008,October
460,The Lucky One,Nicholas Sparks,2008,October
461,The Brass Verdict,Michael Connelly,2008,November
462,Extreme Measures,Vince Flynn,2008,November
463,The Gate House,Nelson DeMille,2008,November
464,Divine Justice,David Baldacci,2008,November
467,Cross Country,James Patterson,2008,December
470,The Christmas Sweater,Glenn Beck,2009,January
471,Scarpetta,Patricia Cornwell,2009,January
472,Black Ops,W. E. B. Griffin,2009,January
475,Plum Spooky,Janet Evanovich,2009,February
479,The Associate,John Grisham,2009,March
480,Promises in Death,J. D. Robb,2009,March
483,Handle with Care,Jodi Picoult,2009,April
484,True Detectives,Jonathan Kellerman,2009,April
485,Long Lost,Harlan Coben,2009,April
486,Turn Coat,Jim Butcher,2009,April
487,Just Take My Heart,Mary Higgins Clark,2009,May
488,First Family,David Baldacci,2009,May
489,8th Confession,James Patterson and Maxine Paetro,2009,May
490,Dead and Gone,Charlaine Harris,2009,May
491,Wicked Prey,John Sandford,2009,May
492,Gone Tomorrow,Lee Child,2009,June
493,The Scarecrow,Michael Connelly,2009,June
494,Skin Trade,Laurell K. Hamilton,2009,June
495,Relentless,Dean Koontz,2009,June
496,Knockout,Catherine Coulter,2009,July
497,Finger Lickin' Fifteen,Janet Evanovich,2009,July
498,Swimsuit,James Patterson and Maxine Paetro,2009,July
499,Black Hills,Nora Roberts,2009,July
500,Best Friends Forever,Jennifer Weiner,2009,August
501,The Defector,Daniel Silva,2009,August
502,The Girl Who Played with Fire,Stieg Larsson,2009,August
503,Bad Moon Rising,Sherrilyn Kenyon,2009,August
505,South of Broad,Pat Conroy,2009,September
506,Alex Cross's Trial,James Patterson and Richard DiLallo,2009,September
